	Anon Student Id	Session Id	Time	Level (Unit)	Problem Name	Problem Start Time	Outcome	KC (Binary-Node)	KC Category (Binary-Node)	Step Name
0	-S00001	1	2019-02-20T17:40:39	439.0	13	2019-02-20T17:40:39	CORRECT	KC1		KC1
0	-S00001	1	2019-02-20T17:40:39	439.0	13	2019-02-20T17:40:39	CORRECT	KC2		KC2
0	-S00001	1	2019-02-20T17:40:39	439.0	13	2019-02-20T17:40:39	INCORRECT	KC3		KC3
1	-S00002	1	2019-02-20T18:28:17	439.0	13	2019-02-20T18:28:17	CORRECT	KC1		KC1
1	-S00002	1	2019-02-20T18:28:17	439.0	13	2019-02-20T18:28:17	CORRECT	KC2		KC2
1	-S00002	1	2019-02-20T18:28:17	439.0	13	2019-02-20T18:28:17	INCORRECT	KC3		KC3
6	-S00003	1	2019-02-20T19:30:28	439.0	13	2019-02-20T19:30:28	CORRECT	KC1		KC1
6	-S00003	1	2019-02-20T19:30:28	439.0	13	2019-02-20T19:30:28	CORRECT	KC2		KC2
6	-S00003	1	2019-02-20T19:30:28	439.0	13	2019-02-20T19:30:28	INCORRECT	KC3		KC3
7	-S00004	1	2019-02-20T21:13:37	439.0	13	2019-02-20T21:13:37	CORRECT	KC1		KC1
7	-S00004	1	2019-02-20T21:13:37	439.0	13	2019-02-20T21:13:37	CORRECT	KC2		KC2
7	-S00004	1	2019-02-20T21:13:37	439.0	13	2019-02-20T21:13:37	INCORRECT	KC3		KC3
10	-S00005	1	2019-02-20T21:16:34	439.0	13	2019-02-20T21:16:34	CORRECT	KC1		KC1
10	-S00005	1	2019-02-20T21:16:34	439.0	13	2019-02-20T21:16:34	CORRECT	KC2		KC2
10	-S00005	1	2019-02-20T21:16:34	439.0	13	2019-02-20T21:16:34	INCORRECT	KC3		KC3
15	-S00006	1	2019-02-20T21:30:42	439.0	13	2019-02-20T21:30:42	CORRECT	KC1		KC1
15	-S00006	1	2019-02-20T21:30:42	439.0	13	2019-02-20T21:30:42	CORRECT	KC2		KC2
15	-S00006	1	2019-02-20T21:30:42	439.0	13	2019-02-20T21:30:42	INCORRECT	KC3		KC3
18	-S00004	1	2019-02-20T21:38:24	439.0	232	2019-02-20T21:38:24	CORRECT	KC1		KC1
18	-S00004	1	2019-02-20T21:38:24	439.0	232	2019-02-20T21:38:24	CORRECT	KC2		KC2
18	-S00004	1	2019-02-20T21:38:24	439.0	232	2019-02-20T21:38:24	INCORRECT	KC3		KC3
22	-S00007	1	2019-02-20T21:41:55	439.0	13	2019-02-20T21:41:55	CORRECT	KC1		KC1
22	-S00007	1	2019-02-20T21:41:55	439.0	13	2019-02-20T21:41:55	CORRECT	KC2		KC2
22	-S00007	1	2019-02-20T21:41:55	439.0	13	2019-02-20T21:41:55	INCORRECT	KC3		KC3
31	-S00007	1	2019-02-20T21:47:09	439.0	232	2019-02-20T21:47:09	CORRECT	KC1		KC1
31	-S00007	1	2019-02-20T21:47:09	439.0	232	2019-02-20T21:47:09	CORRECT	KC2		KC2
31	-S00007	1	2019-02-20T21:47:09	439.0	232	2019-02-20T21:47:09	INCORRECT	KC3		KC3
34	-S00004	1	2019-02-20T21:50:12	439.0	235	2019-02-20T21:50:12	CORRECT	KC1		KC1
34	-S00004	1	2019-02-20T21:50:12	439.0	235	2019-02-20T21:50:12	CORRECT	KC2		KC2
34	-S00004	1	2019-02-20T21:50:12	439.0	235	2019-02-20T21:50:12	INCORRECT	KC3		KC3
37	-S00007	1	2019-02-20T21:51:23	439.0	235	2019-02-20T21:51:23	CORRECT	KC1		KC1
37	-S00007	1	2019-02-20T21:51:23	439.0	235	2019-02-20T21:51:23	CORRECT	KC2		KC2
37	-S00007	1	2019-02-20T21:51:23	439.0	235	2019-02-20T21:51:23	INCORRECT	KC3		KC3
43	-S00007	1	2019-02-20T21:53:51	439.0	234	2019-02-20T21:53:51	CORRECT	KC1		KC1
43	-S00007	1	2019-02-20T21:53:51	439.0	234	2019-02-20T21:53:51	CORRECT	KC2		KC2
